-25 25
-24 25
-23 25
-22 25
-21 25
-20 25
-19 25
-18 25
-17 25
-16 25
-15 25
-14 25
-13 25
-12 25
-11 25
-10 25
-9 25
-8 25
-7 25
-6 25
-5 25
-4 25
-3 25
-2 25
-1 25
0 25
1 25
2 25
3 25
4 25
5 25
6 25
7 25
8 25
9 25
10 25
11 25
12 25
13 25
14 25
15 25
16 25
17 25
18 25
19 25
20 25
21 25
22 25
23 25
24 25
25 25
-25 3
-24 3
-23 3
-22 3
-21 3
-20 3
-19 3
-18 3
-17 3
-16 3
-15 3
-14 3
-13 3
-12 3
-11 3
-10 3
-9 3
-8 3
-7 3
-6 3
-5 3
-4 3
-3 3
-3 -15
-3 -14
-3 -13
-3 -12
-3 -11
-3 -10
-3 -9
-3 -8
-3 -7
-3 -6
-3 -5
-3 -4
-3 -3
-3 -2
-3 -1
-3 0
-3 1
-3 2
-3 3
3 -15
3 -14
3 -13
3 -12
3 -11
3 -10
3 -9
3 -8
3 -7
3 -6
3 -5
3 -4
3 -3
3 -2
3 -1
3 0
3 1
3 2
3 3
3 3
4 3
5 3
6 3
7 3
8 3
9 3
10 3
11 3
12 3
13 3
14 3
15 3
16 3
17 3
18 3
19 3
20 3
21 3
22 3
23 3
24 3
25 3
-3 -15
-2 -15
-1 -15
0 -15
1 -15
2 -15
3 -15
